"Paper_id","citation","citation_short"
32,"Blesh, J., & Drinkwater, L.E. (2014). Retention of 15N-labeled fertilizer in an Illinois prairie soil with winter rye. Journal of Soil Biology and Biochemistry, 78: 496-508. DOI: 10.2136/sssaj2013.09.0403","Blesh & Drinkwater (2014)"
33,"Acuna, J.C., & Villamil, M.B. (2014). Short-term effects of cover crops and compaction on soil properties and soybean production in Illinois. Agronomy Journal, 106: 860-870. DOI: 10.2134/agronj13.0370","Acuna & Villamil (2014)"
34,"Ruffo, M.L., Bullock, D.G., & Bollero, G.A (2004). Soybean yield as affected by biomass and nitrogen uptake of cereal rye in winter cover crop rotation. Agronomy Journal, 96(3): 800-805. DOI: 10.2134/agronj2004.0800","Ruffo et al. (2004)"
35,"Andraski, T.W., & Bundy, L.G. (2005). Cover crop effects on corn yield response to nitrogen on an irrigated sandy soil. Agronomy Journal, 97(4): 1239-1244. DOI: 10.2134/agronj2005.0052","Andraski & Bundy (2005)"
36,"Kaspar, T.C., Parkin, T.B., Jaynes, D.B., Cambardella, C.A., Meek, D.W., & Jung, Y.S. (2006). Examining changes in soil organic carbon with oat and rye cover crops using terrain covariates. Soil Science Society of Americal Journal, 70(4): 1168-1177. DOI: 10.2136/sssaj2005.0095","Kaspar et al. (2006)"
37,"Parkin, T.B., & Kaspar, T.C. (2006). Nitrous oxide emissions from corn-soybean systems in the Midwest. Journal of Environmental Quality, 35(4): 1496-1506. DOI: 10.2134/jeq2005.0183","Parkin & Kaspar (2006)"
38,"Dozier, I.A., Behnke, G.D., Davis, A.S., Nafziger, E.D., & Villamil, M.B. (2017). Tillage and cover cropping effects on soil properties and crop production in Illinois. Agronomy Journal, 109: 1261-1270. DOI: 0.2134/agronj2016.10.0613","Dozier et al. (2017)"
39,"Martinez-Feria, R.A., Dietzel, R., Liebman, M., Helmers, M.J., & Sotirios, V.A. (2016). Rye cover crop effects on maize: A system-level analysis. Field Crops Research, 196: 145-159. DOI: 10.1016/j.fcr.2016.06.016","Martinez-Feria et al. (2016)"
40,"Fox, A.F., Kim, T.N., Bahlai, C.A., Woltz, J.M., Gratton, C., & Landis, D.A. (2016). Cover crops have neutral effects on predator communities and biological control services in annual cellulosic bioenergy cropping systems. Agriculture, Ecosystems and Environment, 232: 101-109. DOI: 10.1016/j.agee.2016.07.003","Fox et al. (2016)"
41,"Ruis, S.J., Blanco-Canqui, H., Jasa, P.J., Ferguson, R.B., & Slater, G. (2017). Can cover crop use allow increased levels of corn residue removal for biofuel in irrigated and rainfed systems?. Bioenergy Research, 10: 992-1004. DOI: 10.1007/s12155-017-9858-z","Ruis et al. (2017)"
42,"Cornelius, C.D., & Bradley, K.W. (2017). Influence of various cover crop species on winter and summer annual weed emergence in soybean. Weed Technology, 31: 503-513. DOI: 10.1017/wet.2017.23","Cornelius & Bradley (2017)"
43,"Dunbar, M.W., Gassmann, A.J., & O'Neal, M.E. (2017). Limited impact of a fall-seeded, spring-terminated rye cover crop on beneficial arthropods. Environmental Entomology, 46(2): 284-290. DOI: 10.1093/ee/nvw177","Dunbar et al. (2017)"
44,"Meng, Y., Chua-Ona, T., & Thompson, M.L. (2016). Short-term nitrogen mineralization potential in soils of biofuel cropping systems. Soil Science, 181(11/12): 503-512. DOI: 10.1097/SS.0000000000000187","Meng et al. (2016)"
45,"Negassa, W., Price, R.F., Basir, A., Snapp, S.S., & Kravchenko, A. (2015). Cover crop and tillage systems effect on soil CO2 and N2O fluxes in contrasting topographic positions. Soil & Tillage Research, 154: 64-74. DOI: 10.1016/j.still.2015.06.015","Negassa et al. (2015)"
46,"Chen, S., Wyse, D.L., Johnson, G.A., Porter, P.M., Stetina, S.R., Miller, D.R., Betts, K.J., Klossner, L.D., & Haar, M.J. (2006). Effect of cover crops alfalfa, red clover, and perennial ryegrass on soybean cyst nematode population and soybean and corn yields in Minnesota. Crop Science, 46(5): 1890-1897. DOI: 10.2135/cropsci2005.09-0296","Chen et al. (2006)"
47,"Basche, A.D., Kaspar, T.C., Archontoulis, S.V., Jaynes, D.B., Sauer, T.J., Parkin, T.B., & Miguez, F.E. (2016). Soil water improvements with long-term use of winter rye cover crop. Agricultural Water Management, 172: 40-50. DOI: 10.1016/j.agwat.2016.04.006","Basche et al. (2016)"
48,"Lacey, C. & Armstrong, S. (2014). The efficacy of winter cover crops to stabilize soil inorganic nitrogen after fall-applied anhydrous ammonia. Journal or Environmental Quality, 44: 442-448. DOI: 10.2134/jeq2013.12.0529","Lacey & Armstrong (2014)"
49,"Wen, L., Lee-Marzano, S., Ortiz-Ribbing, L.M., Gruver, J., Hartman, G.L., & Eastburn, D.M. (2017). Suppression of soilborne diseases of soybean with cover crops. Plant Disease, 101: 1918-1928. DOI: 10.1094/PDIS-07-16-1067-RE","Wen et al. (2017)"
50,"Grabber, J.J. & Jokela, W.E. (2012). Off-season groundcover and runoff characteristics of perennial clover and annual grass companion crops for no-till corn fertilized with manure. Journal of Soil and Water Conservation, 68(5): 411-418. DOI: 10.2489/jswc.68.5.411","Grabber & Jokela (2012)"
51,"Kaspar, T.C., & Bakker, M.G. (2015). Biomass production of 12 winter cereal cover crop cultivars and their effect on subsequent no-till corn yield. Journal of Soil and Water Conservation, 70(6): 353-364. DOI: 10.2489/jswc.70.6.353","Kaspar & Bakker (2015)"
52,"Wegner, B.R., Kumar, S., Osborne, S.L., Schumacher, T.E., Vahyala, I.E., & Eynard, A. (2015). Soil response to corn residue removal and cover crops in eastern South Dakota. Soil Science Society of America Journal, 79: 1179-1187. DOI: 10.2136/sssaj2014.10.0399","Wegner et al. (2015)"
53,"Osborne, S.L., Johnson, J.M.F., Jin, V.L., Hammerbeck, A.L., Varvel, G.E., & Schumacher, T.E. (2014). Impact of corn residue removal on soil aggregates and particulate organic matter. Bioenergy Research, 7(2): 559-567. DOI: 10.1007/s12155-014-9413-0","Osborne et al. (2014)"
54,"Rorick, J.D. & Kladivko, E.J. (2017). Cereal rye cover crop effects on soil carbon and physical properties in southeaster Indiana. Journal of Soil and Water Conservation, 72: 260-265. DOI: 10.2489/jswc.72.3.260","Rorick & Kladivko (2017)"
55,"Kessavalou, A. & Walters, D.T. (1997). Winter rye as a cover crop following soybean under conservation tillage. Agronomy Journal, 89: 68-71. DOI: 10.2134/agronj1997.00021962008900010011x","Kessavalou & Walters (1997)"
56,"Power, J.F., Doran, J.W., & Koerner, P.T. (1991). Hairy vetch as a winter cover crop for dryland corn production. Journal of Production Agriculture, 4(1): 62-67. DOI: 10.2134/jpa1991.0062","Power et al. (1991)"
57,"Stute, J.K., & Posner, J.L. (1995). Synchrony between legume nitrogen release and corn demand in the Upper Midwest. Agronomy Journal, 87: 1063-1069. DOI: 10.2134/agronj1995.00021962008700060006x","Stute & Posner (1995)"
58,"Zhu, J.C., Gantzer, C.J., Anderson, S.H., Beuselinck, P.R., & Alberts, E.E. (1991). Water-use evaluation of winter cover crops for no-till soybeans. Journal of Soil and Water Conservation, 46(6): 450-456. DOI: Unavailable","Zhu et al. (1991)"
70,"Krupke, C.H., Holland, J.D., Long, E.Y., & Eitzer, B.D (2017). Planting of neonicotinoid-treated maize poses risks for honey bees and other non-target organisms over a wide area without consistent crop yield benefit. Journal of Applied Ecology, 54: 1449-1458. DOI: 10.1111/1365-2664.12924","Krupke et al. (2017)"
71,"Krupke, C.H., Alford, A.M., Cullen, E.M., Hodgson, E.W., Knodel, J.J., McCornack, B., Potter, B.D., Spigler, M.I., Tilmon, K., & Welch, K. (2017). Assessing the value and pest management window provided by neonicotinoid seed treatments for management of soybean aphid (Aphis glycines Matsumura) in the Upper Midwestern United States. Pest Management Science, 73: 2184-2193. DOI: 10.1002/ps.4602","Krupke et al. (2017)"
72,"Regan, K., Ordosch, D., Glover, K.D., Tilmon, K.J., & Szczepaniec A. (2017). Effects of a pyrethroid and two neonicotinoid insecticides on population dynamics of key pests of soybean and abundance of their natural enemies. Crop Protection, 98: 24-32. DOI: 10.1016/j.cropro.2017.03.004","Regan et al. (2017)"
73,"Pataky, J.K., Michener, P.M., Freeman, N.D.,  Hawk, J.A., Weldekidan, T., & Teyker, R.H. (2005). Rates of seed treatment insecticides and control of stewart's wilt in sweet corn. Plant Disease, 89(3): 262-268. DOI: 10.1094/PD-89-0262","Pataky et al. (2005)"
74,"Oloumi-Sadeghi, H., Levine, E., Steffey, K.L., & Gray, M.E. (1992). Black cutworm damage and recovery of corn plants: influence of pyrethroid and organophosphate soil insecticide treatments. Crop Protection, 11: 323-328. DOI: 10.1016/0261-2194(92)90057-C","Oloumi-Sadeghi et al. (1992)"
75,"Bierman, R. E., Riechers, D. E., Sprague, C. L., Bollero, G., & Pedersen W. L. (2006). Fungicide-herbicide interaction in soybean (Glycine max). Crop Protection, 25: 134-139. DOI: 10.1016/j.cropro.2005.03.013 ","Bierman et al. (2006)"
76,"Tinsley, N. A., Steffey, K. L., Estes, R. E., Heeren, J. R., Gray, M. E., & Diers, B. W. (2012). Field-level effects of preventative management tactics on soybean aphids (Aphis glycines Matsumura) and their predators. Journal of Applied Entomology, 136: 361-371. DOI: 10.1111/j.1439-0418.2011.01656.x ","Tinsley et al. (2012)"
77,"Hammond, R. B. & Cooper, R. L.,  (1993). Interaction of planting times following the incorporaiton of a living, green cover crop and control measures on seedcorn maggot populations in soybean. Crop Protection, 12(7): 539-543. DOI: 10.1016/0261-2194(93)90096-2","Hammond & Cooper (1993)"
78,"Morton, C.A., Harvey, R.G., Wedberg, J.L., Kells, J.J., Landis, D.A., & Lueschen, W.E. (1994). Influence of corn rootworm insecticides on response of field corn (Zea mays) to Nicosulfuron. Weed Technology, 8(2): 289-295. DOI: 10.1017/S0890037X00038793","Morton et al. (1994)"
79,"Haile, F.J., Peterson, R.K.D., & Higley, L.G. (1999). Gas-exchange responses of alfalfa and soybean treated with insecticides. Journal of Economic Entomology, 92(4): 954-959. DOI: 10.1093/jee/92.4.954","Haile et al. (1999)"
80,"Frank, D.L., Kurtz, R., Tinsley, N.A., Gassmann, A.J., Meinke, L.J., Moellenbeck, D., Gray, M.E., Bledsoe, L.W., Krupke, C.H., estes, R.E., Weber, P., & Hibbards, B.E. (2015). Effect of seed blends and soil-insecticide on Western and Northern Corn Rootworm emergence from mCry3A + eCry3.1Ab Bt maize. Journal of Economic Entomology, 108(3): 1260-1270. DOI: 10.1093/jee/tov081","Frank et al. (2015)"
81,"Gaspar, A.P., Mitchell, P.D., & Conley, S.P. (2015). Economic risk and profitability of soybean fungicide and insecticide seed treatments at reduced seeding rates. Crop Science, 55: 924-933. DOI: 10.2135/cropsci2014.02.0114","Gaspar et al. (2015)"
82,"Gaspar, A.P., & Conley, S.P. (2015). Responses of canopy reflectance, light interception, and soybean seed yield to replanting suboptimal stands. Crop Science, 55: 377-385. DOI: 10.2135/cropsci2014.03.0200","Gaspar & Conley (2015)"
83,"Gaspar, A.P., Marburger, D.A., Mourtzinis, S., & Conley, S. (2014). Soybean seed yield response to multiple seed treatment components across diverse environments. Agronomy Journal, 106: 1955-1962. DOI: 10.2134/agronj14.0277","Gaspar et al. (2014)"
84,"McCarville, M.T., O'Neal, M.E., Potter, B.D., Tilmon, K.J., Cullen, E.M., McCornack, B.P., Tooker, J.F., & Prischmann-Voldseth, D.A. (2014). One gene versus two: A regional study on the efficacy of single gene versus pyramided resistance for soybean aphid management. Journal of Economic Entomology, 107(4): 1680-1687. DOI: 10.1603/EC14047","McCarville et al. (2014)"
85,"Obopile, M., Hammond, R.B., & Thomison, P.R. (2013). Interaction among planting dates, transgenic maize, seed treatment, corn rootworm damage and grain yield. Journal of Applied Entomology, 137: 45-55. DOI: 10.1111/j.1439-0418.2012.01716.x","Obopile et al. (2013)"
86,"Esker, P.D., & Conley, S.P. (2012). Probability of yield response and breaking even for soybean seed treatments. Crop Science, 52: 351-359. DOI: 10.2135/cropsci2011.06.0311","Esker & Conley (2012)"
87,"Rodriguez-Brljevich, C., Kanobe, C., Shanahan, J.F., & Robertson, A.E. (2010). Seed treatments enhance photosynthesis in maize seedlings by reducing infection with Fusarium spp. and consequent disease development in maize. European Journal of Plant Pathology, 126: 343-347. DOI: 10.1007/s10658-009-9545-9","Rodriguez-Brljevich et al. (2010)"
88,"Johnson, K.D., O'Neal, M.E., Ragsdale, D.W., Difon, C.D., Swinton, S.M., Dixon, P.M., Potter, B.D., Hodgson, E.W., & Costamagna, A.C. (2009). Probability of cost-effective management of soybean aphid (Hemiptera: Aphididae) in North America. Journal of Economic Entomology, 102(6): 2101-2108. DOI: 10.1603/029.102.0613","Johnson et al. (2009)"
89,"Magalhaes, L.C., Hunt, T.E., & Siegfried, B.D. (2009). Efficacy of neonicotinoid seed treatments to reduce soybean aphid populations under field and controlled conditions in Nebraska. Journal of Economic Entomology, 102(1): 187-195. DOI: 10.1603/029.102.0127","Magalhaes et al. (2009)"
90,"Murillo-Williams, A., & Pedersen, P. (2008). Arbuscular mycorrhizal colonization response to three seed-applied fungicides. Agronomy Journal, 100(3): 795-800. DOI: 10.2134/agronj2007.0142","Murillo-Williams & Pedersen (2008)"
91,"Bradley, C.A. (2008). Effect of fungicide seed treatments on stand establishment, seedling disease, and yield of soybean in North Dakota. Plant Disease, 92: 120-125. DOI: 10.1094/ PDIS-92-1-0120","Bradley (2008)"
92,"Wang, D., Kurle, J.E., Estevex de Jensen, C., & Percich, J.A. (2004). Radiometric assessment of tillage and seed treatment effect on soybean root rot caused by Fusarium spp. in central Minnesota. Pland and Soil, 258: 319-331. DOI: 10.1023/B:PLSO.0000016561.58742.93","Wang et al. (2004)"
93,"Bradshaw, J.D., Rice, M.E., & Hill J. H. (2003). Efficacy of pyrethroid and systemic neonicotinoid to manage an insect and pathogen complex. Crop Science & Technology Congress Proceedings, 1: 53-60. DOI: Unavailable","Bradshaw et al. (2003)"
94,"Baird, R.E., Nankam, C., Fallah Moghaddam, P., & Pataky, J.K (1994). Evaluation of seed treatments on Shrunken-2 sweet corn. Plant Disease, 78: 817-821. DOI: 10.1094/PD-78-0817","Baird et al. (1994)"
95,"Bradshaw, J.D., Rice, M.E., & Hill, J.H. (2008). Evaluation of management strategies for bean leaf beetles (Coleoptera: Chrysomelidae) and Bean pod mottle virus (Comoviridae) in soybean. Journal of Economic Entomology, 101(4): 1211-1227. DOI: 10.1093/jee/101.4.1211","Bradshaw et al. (2008)"
96,"Dorrance, A. E., Robertson, A. E., Cianzo, S., Giesler, L. J., Grau, C. R., Draper, M. A., Tenuta, A. U., & Anderson, T. R. (2009). Integrated management strategies for Phytophthora sojae combining host resistance and seed treatments. Plant Disease, 93: 875-882. DOI: 10.1094/ PDIS-93-9-0875","Dorrance et al. (2009)"
120,"Shapiro, C., Attia, A., Ulloa, S., & Mainz, M. (2016). Use of five nitrogen source and placement systems for improved nitrogen management of irrigated corn. Soil Science Society of America Journal, 80: 1663-1674. DOI: 10.2136/sssaj2015.10.0363","Shapiro et al. (2016)"
121,"Barker, D.W. & Sawyer, J.E. (2017). Variable rate nitrogen management in corn: Response in two crop rotations. Journal of Soil and Water Conservation, 72(3): 183-190. DOI: 10.2489/jswc.72.3.183","Barker & Sawyer (2017)"
122,"Venterea, R.T., Coulter, J.A., & Dolan, M.S. (2016). Evaluation of intensive ""4R"" strategies for decreasing nitrous oxide emissions and nitrogen surplus in rainfed corn. Journal of Environmental Quality, 45: 1186-1195. DOI: 10.2134/jeq2016.01.0024","Venterea et al. (2016)"
123,"Woli, K.P., Fernandez, F.G., Sawyer, J.D., Stamper, J.D., Mengel, D.B., Barker, D.W., & Hanna, M.H. (2014). Agronomic comparison of anhydrous ammonia applied with a high speed-low draft opener and conventional knife injection in corn. Agronomy Journal, 106: 881-892. DOI: 10.2134/agronj13.0441","Woli et al. (2014)"
124,"Burzaco, J.P., Ciampitti, I.A., & Vyn, T.J. (2014). Nitrapyrin impacts on maize yield and nitrogen use efficiency with spring-applied nitrogen: field studies vs. meta-analysis comparison. Agronomy Journal, 106: 753-760. DOI: 10.2134/agronj2013.0043","Burzaco et al. (2014)"
125,"Fujinuma, R., Venterea, R.T., & Rosen, C. (2011). Broadcast urea reduces N2O but increases NO emissions compared with conventional and shallow-applied anhydrous ammonia in a coarse-textured soil. Journal of Environmental Quality, 40: 1806-1815. DOI: 10.2134/jeq2011.0240","Fujinuma et al. (2011)"
126,"Barker, D.W. & Sawyer, J.E. (2005). Nitrogen application to soybean at early reproductive development. Agronomy Journal, 97(2): 615-619. DOI: 10.2134/agronj2005.0615","Barker & Sawyer (2005)"
127,"Eghball, B., Schepers, J.S., & Schlemmer, M.R. (2003). Spatial and temporal variability of soil nitrate and corn yield: multifractal analysis. Agronomy Journal, 95(2): 339-346. DOI: 10.2134/agronj2003.0339","Eghball et al. (2003)"
128,"Vetsch, J.A. & Randall, G.W. (2004). Corn production as affected by nitrogen application timing and tillage. Agronomy Journal, 96(2): 502-509. DOI: 10.2134/agronj2004.5020","Vetsch & Randall (2004)"
129,"Elmore, R.W. & Ferguson, R.B. (1999). Mid-season stalk breakage in corn: hybrid and environmental factors. Journal of Production Agriculture, 12(2): 293-299. DOI: 10.2134/jpa1999.0293","Elmore & Ferguson (1999)"
130,"Nichues, B.J., Lamond, R.F., Godsey, C.B., & Olsen, C.J. (2004). Starter nitrogen fertilizer management for continuous no-till corn production. Agronomy Journal, 96(5): 1412-1418. DOI: 10.2134/agronj2004.1412","Nichues et al. (2004)"
131,"Anderson, L.L. &  Bullock, D.G. (1998). Variable rate fertilizer application for corn and soybean. Journal of Plant Nutrition, 21(7): 1355-1361. DOI: 10.1080/01904169809365488","Anderson & Bullock (1998)"
132,"Crandall, S.M., Ruffo, M.L., & Bollero, G.A. (2005). Cropping system and nitrogen dynamics under a cereal winter cover crop preceding corn. Plant and Soil, 268: 209-219. DOI: 10.1007/s11104-004-0272-x","Crandall et al. (2005)"
133,"Gehl, R.J., Schmidt, J.P., Maddux, L.D., & Gordon, W.B. (2005). Corn yield response to nitrogen rate and timing in sandy irrigated soils. Agronomy Journal, 97(4): 1230-1238. DOI: 10.2134/agronj2004.0303","Gehl et al. (2005)"
134,"Bermudez, M. & Mallarino, A.P. (2007). Impacts of variable-rate phosphorus fertilization based on dense grid soil sampling on soil-test phosphorus and gran yield of corn and soybean. Agronomy Journal, 99(3): 822-832. DOI: 10.2134/agronj2006.0172","Bermudez & Mallarino (2007)"
135,"Ping, J.L., Ferguson, R.B., & Dobermann, A. (2008). Site-specific nitrogen and plant density management in irrigated maize. Agronomy Journal, 100(4): 1193-1204. DOI: 10.2134/agronj2007.0174","Ping et al. (2008)"
136,"Fernandez, F.G., Venterea, R.T., & Fabrizzi, K.P. (2016). Corn nitrogen management influences nitrous oxide emissions in drained and undrained soils. Journal of Environmental Quality, 45: 1847-1855. DOI: 10.2134/jeq2016.06.0237","Fernandez et al. (2016)"
137,"Pittelkow, C.M., Clover, M.W., Hoeft, R.G., Nafziger, E.D., Warren, J.J., Gonzini, L.C., & Greer, K.D. (2017). Tile drainage nitrate losses and corn yield response to fall and spring nitrogen management. Journal of Environmental Quality, 46: 1057-1064. DOI: 10.2134/jeq2017.03.0109","Pittelkow et al. (2017)"
138,"Killorn, R. & Zourarakis, D. (1992). Nitrogen fertilizer management effects on corn grain yield and nitrogen uptake. Journal of Production Agriculture, 5: 142-148. DOI: 10.2134/jpa1992.0142","Killorn & Zourarakis (1992)"
